id,internal-note,county,category,subcategory,organization,address,address2,pobox,city,state,zipcode,longitude,latitude,phone,fax,email,website,hours,transportation,translation,bilingual,documents,citizenship,cost,notes,amy-notes
331,,Oneida,Labor,Job search assistance; Training; Career advice,Working Solutions One Stop Center,207 Genesee Street,2nd floor New York State Office Building,,Utica,NY,13501,-75.231917,43.100503,(315) 793-2229,(315) 793-2216,contact page on website,www.working-solutions.org,M-F 8:30 AM-5:00 PM,No,Yes,No,ID; proof of address,Not required,No cost,"Provide career counseling, referral services, adult education and literacy training. Resource room and library available.",
332,,Oneida,Education,ESL; Adult education; Career education,Mohawk Valley Community College,1101 Sherman Drive,,,Utica,NY,13501,-75.219402,43.077275,(315) 792-5400,,slam@mvcc.edu,www.mvcc.edu,M-F 9:00AM-5:00 PM,No,No,Yes,No,Not required,Depends on the class,ESL; at the refugee center on Bleeker St and Elizabeth St. (Free classes).; TASS prep class ($10 fee),
333,,Oneida,Legal Aid,Family law; Other law,"Legal Aid Society of Mid-New York, Inc.",120 Bleecker Street,,,Utica,NY,13501,-75.229557,43.101636,(315) 793-7000 ,(315) 732-3202 ,"no email, must call for screening interview (877) 777-6152  M-F 9:00AM-3:00 PM",http://www.lasmny.org/Programs/Office%20Contact%20List.shtm,M-F 9:00AM-5:00 PM,No,Yes,No,Depends on case,Not required,No cost,No immigration lawyer at this office,
334,,Onondaga,Education,ESL; Adult education,Literacy CNY,100 New Street,,,Syracuse,NY,13202,-76.149212,43.040279,(315) 471-1300,(315) 565-3798,info@literacycny.org; blang@literacycny.org; awhitmore@literacycny.org; please call first,https://www.literacycny.org/,M-F 8:30 AM-4:00 PM,No,No,No,Ask for social security number but will not refuse registration if you don't have one.,Not required,No cost,"One-to-one, small group, conversation group tutoring in public settings",
335,,Onondaga,Education,ESL; Adult education; Career education,Onondaga-Cortland-Madison Counties BOCES,200 Elwood Davis Road,,,Liverpool,NY,13088,-76.175185,43.097346,(315) 453-4455 x4,(315) 451-4676,mukleya@ocmboces.org,http://www.ocmboces.org,"M-F 8:30 AM- 4:00 PM (Liverpool office); Tu Th 12:30-3:30 (Cortland Works classes); M-F 8:30 AM-12:30PM and 5:30-8:30PM (Liverpool classes); Additional classes in Jamesville and Manlius --  M-Th 5:30PM-8:30PM (ESL: 890 Seventh North Street, Liverpool, NY 13088)",No,No,No,Photo ID,Not required,No cost for ESL and literacy classes,"Provides adult basic education, preparation for the GED exam, ESL, workplace literacy, and home study programs to anyone without a high school diploma. Can attend classes or receive home instruction.",
336,,Onondaga,Housing; Program for Families; Health; Legal aid,Empowerment; Domestic violence; Programs for kids; Affordable housing; Job search assistance;,Spanish Action League of Onondaga County,700 Oswego St.,,,Syracuse,NY,13204,-76.164016,43.041242,(315) 475-6153,(315) 474- 5767,execdir@laligacny.org; wijimenez@laligacny.org,http://www.laligaupstateny.org/,M-F 8:30 AM-4:30PM (Close 12:00 PM-1:00 PM),"Yes, for children's programs",Yes,Yes,ID; proof of address,Not required,No cost,"Provides services in: careers, translation of legal documents; housing, youth development, language, 24 Domestic Violence Hotline (315) 410-0945; 24-hour breast cancer services (315) 427-3315; Language services hotline (315) 466-6608",
337,,Onondaga,Education,ESL: Adult education,The Newland Center for Adult Learning and Literacy,443 E. Genesee St.,,,Syracuse,NY,13210,-76.146643,43.048145,(315) 471-1446,(315)425-9028,director@thelearningplace.org; contact page on website,www.thenewlandcenter.org,M-Th 10:00AM-3:00 PM,No,No,No,No,Not required,No cost,"Small ESL services and tutoring in reading, writing, and math.",
338,,Onondaga,Education; Referral to other agencies,ESL; Job search assistance; Career advice,Partners in Learning - West Side Learning Center,422 Gifford St,St. Lucy's Academy,,Syracuse,NY,13204,-76.161757,43.043477,(315) 435-4013,,partners.pagano@gmail.com,www.partners-in-learning.org,M-F 8:30 AM-4:30PM; Tu 5:00 PM-8:00 PM,No,By appointment,"Yes, Spanish",ID; proof of address,Not required,No cost (except  for extended day hours for MANOS Early Childhood Program at $5.00/hour),"Bilingual day care, ESL, resume writing, interview skills, technological training, credential translations, job and internship placement",
339,,Onondaga,Education; Referral to other agencies,Citizenship preparation,Center for New Americans Refugee Resettlement Program - Interfaith Work,1010 James St,,,Syracuse,NY,13203,-76.133669,43.059248,(315) 474-1261,(315) 474-0038,info@interfaithworkscny.org,www.interfaithworkscny.org,M-F 8:30 AM-5:00 PM,No,Yes,Yes,No,Not required,Yes,"Provides assistance for refugees and legal immigrants in the Syracuse community. Helps to assist in housing, employment, education, medical services, etc. for clients in Refugee Resettlement Program.",
340,,Onondaga,Referral to other agencies; Housing; Programs for families; Emergency assistance,Food; Clothing; Programs for kids; Utility assistance,"PEACE, Inc.",217 South Salina St.,2nd floor,,Syracuse,NY,13202,-76.152050,43.048831,(315) 470-3300,(315) 472-8939,info@peace-caa.org,www.peace-caa.org,M-F 8:00AM-4:30PM,"Yes, only for pre-K for early Head Start intervention program",No,By appointment,No,Not required,No cost,Community Action Agency offering agency self sufficient,
341,,Onondaga,Housing,Homeownership; Home improvements,"Home Headquarters, Inc",538 Erie Boulevard West,Suite 100,,Syracuse,NY,13204,-76.162543,43.049783,(315) 474-1939,(315) 474-0637,info@homehq.org,www.homehq.org,M-F 8:00AM-5:00 PM,No,Yes,"Yes, Spanish","Depends on program, most ask for a check stub to verify income",Not required,No cost for most services. Small fee for homebuyer education classes and recording fees for loans.,"Provides services to prospective and current homeowners, such as education, financial counseling, loans, financial assistance, and home repairs.",
342,,Onondaga,Housing,Home improvements,Southern Hills Preservation Corporation,2383 Route 11 South,Suite 1,,LaFayette,NY,13084,-76.106859,42.886998,(315) 677-3863,(315) 677-3864,info@southernhillspc.org,www.southernhillspc.org,M-F by appointment only,No,Yes,No,ID; proof of income; proof of assets for all household members; proof of ownership of property applying for,Homeownership is only required condition,Depends on grant or loan received,"Provides home repairs and loans, a revolving loan fund, financial counseling, and technical assistance for low and moderate income residents of Fabius, LaFayette, Marcellus, Otisco, Pompey, Skaneateles, Spafford, and Tully. Applicants must be homeowners to qualify.",
343,,Onondaga,Legal aid,Immigration; Family law; Other law,Hiscock Legal Aid Society,351 S. Warren St.,3rd floor,,Syracuse,NY,13202,-76.150409,43.047399,(315) 422-8191,(315) 472-2819,mail@hiscocklegalaid.org,http://www.hiscocklegalaid.org,M-F 8:30-4:00 PM,No,Yes,No,ID; proof of address,Not required,No cost,"Provides civil assistance, typically in domestic relations, housing, and unemployment. Also provides assistance through the Upstate Immigration Law Project to immigrants with certain immigration filings, like applications for work permits and travel documents and petitions for asylum or temporary protected status.",
344,,Onondaga,Legal aid,Immigration; Family law; Other law,Legal Services of Central New York,221 S Warren St,#300,,Syracuse,NY,13202,-76.150596,43.048957,(877) 777-6152 (If not a client and have legal problem),,,http://www.lscny.org/,M-F 8:00AM - 5:00 PM,No,Yes,No,Depends on the program,Not required,Depends,"Serves low income individuals in Broome, Cayuga, Chenango, Cortland, Delaware, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, and Otsego Counties.",
345,,Onondaga,Legal aid,Immigration; Family law; Other law,Onondaga County Bar Association,431 East Fayette Street Suite 100,,,Syracuse,NY,13202,-76.146421,43.048771,(315) 422-9538,(315) 471-6036,info@cnycf.org,www.onbar.org,M-F 9:00AM-4:00 PM,No,Yes,No,No,Not required,No,"Provides numerous law services, including possible lawyer matching",
346,,Onondaga,Legal aid,Immigration; Family law; Other law,Onondaga County Bar Association Volunteer Lawyers' Project,221 S. Warren Street,Suite 200,,Syracuse,NY,13202,-76.150596,43.048957,(315) 471-3409,(315) 939-1466,info@onvlp.org,http://www.onvlp.org/,M-F 8:00AM-4:30PM,No,By appointment,"Yes, on telephone",No,Not required,No Cost,Provides free lawyers,
347,,Onondaga,Emergency assistance,Food; Medicine; Clothing; Emergency shelter; Other needs,American Red Cross - Central New York Chapter,344 W. Genesee Street,,,Syracuse,NY,13202,-76.156044,43.052600,(315) 234-2200,,please call,http://www.redcross.org/local/new-york/western-central-new-york/chapters/cny,,No,"Yes, Spanish","Yes, Spanish",No,Not required,No cost,,
348,,Onondaga,Legal Aid,Family law; Immigration law; Other law,"Legal Aid Society of Mid-New York, Inc.",221 South Warren Street,Suite 310,,Syracuse,NY,13202,-76.150596,43.048957, (315) 703-6600,(315) 424-4911,"no email, must call for screening interview (877) 777-6152  M-F 9:00AM-3:00 PM",http://www.lasmny.org/Programs/Office%20Contact%20List.shtm,M-F 9:00AM-5:00 PM,No,Yes,No,Depends on case,Not required,No cost,Immigration lawyer at this office,
349,,Ontario,Programs for families,Child care,ABCD (Agri-Business Child Development) at Geneva,5 Goodman St,,,Geneva,NY,14456,-76.963811,42.880014,(315) 781-3267,(315) 781-7240,contact page on website,http://www.abcdny.org/locations,M-F 7:30 AM-4:00 PM,Yes,Yes,Yes,ID; proof of address,Not required,No cost,Day care for children of migrant farmworkers.,
350,,Ontario,Legal aid; Victim support; Referral to other agencies,Other law; Domestic violence; Women's health,"Victim Resource Center of the Finger Lakes, Inc",132 Harrison St,,,Newark,NY,14513,-77.093201,43.048992,(315) 331-1171; hotline (800) 456-1172 (bilingual) --  (Ext. 5 for Spanish),(315) 331-1189,vrc132@verizon.net,http://www.vrcfl.org/,M-F 8:30 AM-4:00 PM; On call for crisis  --  intervention 24/7 in Spanish and English,No,"Yes, Spanish",Yes,No,Not required,No cost,"Free confidential, supportive services for victims of domestic violence and sexual assault. Services provided include: emergency safe dwelling for victims of domestic violence and their children; short-term counseling; support groups; information and referral; medical/legal social services advocacy; education and outreach. Free legal representation for Orders of Protection. Together with our partner, the International Institute, we offer legal assistance with immigration matters related to domestic violence or sexual assault.",
351,,Ontario,Health,Women's health; Food,"Finger Lakes Women, Infant, and Children's Program (WIC)",79 S. Main St,,,Canandaigua,NY,14424,-77.280021,42.886830,(585) 394-9240,(585) 394-9285,contact page on website,www.spcc-roch.org,M-F 8:30 AM-4:30PM,No,"Yes, Spanish",No,Proof of income,Not required,No cost,"Provides nutrition education and counseling to eligible families in eastern Monroe, Wayne, Yates, Seneca, and Ontario Counties. Eligible families are given checks to purchase healthy foods. Appointments available throughout the 4+ county area. Must meet income eligibility and reside in NYS.",
352,,Ontario,Health; Mental Health,General medicine; Women's health; Health accessibility; Programs for kids; Psychological services,Trillium Health,259 Monroe Avenue,,,Rochester,NY,14607,-77.599588,43.149494,(585) 545-7200; (800) 266-9292,(585) 244-8177,please call,www.trilliumhealthny.org,M W 9:00AM-5:00 PM; Tu Th 8:00AM-7:00 PM; F 9:00AM-12:30PM; Sat 8:00AM-4:00 PM,Yes through care management services,"Yes, Spanish",Yes,ID; Health Insurance card if you have one,Not required,Income dependent,"Provides bilingual case management, support groups, HIV testing, advocacy, nutrition assistance, housing assistances, recreational programs, some financial assistance, and referrals.",
353,,Ontario,Health,General medicine; Women's health; Psychological services,Thompson Health Hospital,350 Parrish Street,,,Canandaigua,NY,14424,-77.289024,42.876358,(585) 396-6000,,contact page on website,www.thompsonhealth.com,24/7,Yes,Yes,No,ID; proof of address,Not required,Yes,Full service hospital,
354,,Ontario,Housing; Health,Farm Visits (inspections),NYS Department of Health,624 Preemption Rd,,,Geneva,NY,14456,-77.011801,42.872762,(315) 789-3030,(315) 781-0831,dohweb@health.ny.gov,https://www.health.ny.gov/,M-F 8:30 AM-4:30PM,No,Yes,No,ID; Health Insurance card if you have one,Not required,,"Inspection of labor camps in Wayne, Ontario, and Yates counties occupied by five or more people and for H-2A. Inspections are made to assure housing is in compliance with Part 15 of the NYS Sanitary Code. (Inspection of campus with less than five people is under the authority of the US Department of Labor.)",
355,,Ontario,Legal aid,Immigration; Family law; Other law,"Legal Assistance of the Western New York, Inc",361 South Main Street,,,Geneva,NY,14456,-76.984746,42.866446,(315) 781-1465,(315) 781-2565,contact page on website,www.lawny.org,M-F 9:00AM-12:00 PM and 1:00 PM-5:00 PM,No,Yes,No,ID,Not required,No cost,"Access to the justice system for low-income people and other vulnerable populations with civil legal problems. Projects include homelessness intervention, disability advocacy, income maintenance, nutrition outreach, elder law, elder care, and Finger Lakes Volunteer Lawyer Service.",
356,,Ontario,Health,Farm visits; General medicine; Dental; Alcohol/drug treatment; Psychological support,Finger Lakes Community Health -Geneva,601-B Washington St,,,Geneva,NY,14456,-77.006964,42.859851,(315) 781-8448,(315) 781-8444,info@flchealth.org,https://localcommunityhealth.com/locations/geneva-community-health-v2/,M W Th 8:00AM-6:00 PM; Tu 8:00AM-8:00 PM; F 8:00AM-5:00 PM,"Yes, by appointment",Yes,"Yes, Spanish, Haitian, Portuguese, French",Proof of income,Not required,Sliding scale fee,"Outreach, medical services, dental services, substance abuse services, pharmaceuticals, social services, transportation.",
357,,Ontario,Health,No direct services to farmworkers,NYS Department of Health,3019 County Complex Dr.,,,Canandaigua,NY,14424,-77.210331,42.883452,(585) 396-4343,(585) 396-4551,contact page on website,https://www.co.ontario.ny.us/1169/Ontario-County-Public-Health,M-F 8:30 AM-5:00 PM,No,By appointment,No,Application from health department,Caution: proof of citizenship required for some programs,depends on application,"Inspection of labor camps or H-2A housing in Wayne, Ontario, and Yates counties occupied by five or more people. Inspections are made to assure housing is in compliance with Part 15 of the NYS Sanitary Code. (Inspection of campus with less than five people is under the authority of the US Department of Labor.)",
358,,Ontario,Legal aid,Family law; Other law,"Legal Assistance of Western New York, Inc.",361 South Main Street,,,Geneva,NY,14456,-76.984746,42.866446,(315) 781-1465; (866) 781-5235,(315) 781-2565,please call,https://www.lawny.org/,M-F 9:00AM-5:00 PM,No,By appointment,Yes,Proof of address; ID,Not required,No cost,Income based sliding scale fee structure,
359,,Ontario,Education,ESL,"Literacy Volunteers Ontario-Yates, Inc.",208 South Main Street,,,Canandaigua,NY,14424,-77.279250,42.884621,(585) 396-1686,,donna@literacyvoc.org,www.literacyvoc.org,M-F 9:00AM-4:00 PM,No,By appointment,No,Intake paperwork,Not required,No cost,ESL,
360,,Ontario,Emergency assistance,Food,Canandaigua Churches In Action,20 N. Main Street,,,Canandaigua,NY,14424,-77.281855,42.888226,(585) 396-2242,,contact page on website,https://www.churchesinaction.org/schedule.html,Call (585) 396-2242 for distribution times,No,By appointment,By appointment,No,Not required,No cost,,
361,,Ontario,Emergency assistance,Food,St. Felix Food Cupboard,12 Hibbard Ave,,,Clifton Springs,NY,14432,-77.136593,42.965364,(315) 521-1601,,,https://211lifeline.org/detail.php?id=7331534,Th 11:00AM-1:00 PM,No,By appointment,By appointment,No,Not required,No cost,,
362,,Ontario,Emergency assistance,Food,Well Spring Church,22 Teft Avenue,,,Clifton Springs,NY,14432,-77.130052,42.962240,(315) 548-6292,,contact page on website,http://www.wellspringchurch.us/food-distribution.html,Every other Tu 5:00 PM-7:00 PM,No,By appointment,By appointment,No,Not required,No cost,,
363,,Ontario,Emergency assistance,Food,United Church of Christ,8758 Main Street,,,Honeoye,NY,14471,-77.518870,42.790913,(585) 371-8880,,honeoye ucc@gmail.com,http://ucchoneoye.org/about-us/,Call for appointment,No,By appointment,By appointment,No,Not required,No cost,,
364,,Ontario,Emergency assistance,Food,Zion Fellowship,5188 Bristol Street,,,Canandaigua,NY,14424,-77.299979,42.875844,(585) 396-2242,,contact page on website,https://www.churchesinaction.org/schedule.html,M 4:00 PM-5:00 PM; Th 7:00 PM-8:00 PM,No,By appointment,By appointment,No,Not required,No cost,,
365,,Ontario,Emergency assistance,Food,Canandaigua Salvation Army,110 Saltonstall Street,,,Canandaigua,NY,14424,-77.274084,42.884963,(585) 394-6968,,contact page on website,https://empire.salvationarmy.org/EmpireNY/Canandaigua,Call for appointment,No,By appointment,By appointment,No,Not required,No cost,,
366,,Ontario,Emergency assistance,Food,Geneva Center of Concern,58 Avenue D,,,Geneva,NY,14424,-76.981846,42.879904,(315) 789-1117,,contact page on website,https://www.nyconnects.ny.gov/services/food-pantry-635,M-F 10:AM-3:00 PM; Sat 10:00AM-12:30PM,No,By appointment,By appointment,Proof of residence in Geneva,Not required,No cost,,
367,,Ontario,Emergency assistance,Food,Geneva Salvation Army,41 North Street,,,Geneva,NY,14424,-76.980269,42.875299,(315)789-1055,,contact page on website,https://empire.salvationarmy.org/EmpireNY/Geneva,M-F 9:30 AM-12:00 PM,No,By appointment,By appointment,No,Not required,No cost,,
368,,Ontario,Emergency assistance,Food,Victor-Farmington Food Cupboard,1246 Commercial Drive,Building B,,Farmington,NY,14425,-77.352549,42.976401,(585) 924-2720,,contact page on website,https://m.facebook.com/VictorFarmingtonFoodCupboard/,Free grab-and-go lunches M-F 11:30PM-1:30PM; Call for appointment to access food bank,No,By appointment,By appointment,No,Not required,No cost,,
369,,Ontario,Emergency assistance,Food,Clifton Springs United Methodist Church,1 East Main Street,,,Farmington,NY,14432,-77.138072,42.960974,(315) 462-2274,,contact page on website,http://www.csumc.com/kids-pantry,3rd Th 5:30PM-7:00 PM,No,By appointment,By appointment,No,Not required,No cost,,
370,,Ontario,Emergency assistance,Food,Twin Cities Food Cupboard,4 Center Street,Bennett Building,,Manchester,NY,14432,-77.136891,42.963418,(585) 289-3046,,bognersm@hotmail.com,https://211lifeline.org/detail.php?id=7337934,2nd Th 10:00AM-12:00 PM; 2nd Sat 10:00AM-12:00 PM; 4th Th 5:00 PM-7:00 PM,No,By appointment,By appointment,No,Not required,No cost,,
371,,Orange,Programs for families,Child care,Agri-Business Child Development (ABCD )-Florida,14 Edward J. Lempka Drive,,,Florida,NY,10921,-74.358690,41.340408,(845) 651-2270,(845) 651-2274,contact page on website,http://www.abcdny.org/locations,M-F 7:45AM-4:15PM,"Yes, for children's programs",Yes,Yes,Yes,Not required,No cost,Day care for children of migrant farmworkers.,
372,,Orange,Education,ESL; Adult education; Career education,Orange-Ulster BOCES,53 Gibson Road,,,Goshen,NY,10924,-74.353336,41.385525,(845) 291-0100,,contact page on website,www.ouboces.org,M-F 7:30 AM-4:00 PM,No,Yes,Yes,Proof of address,"Not required for ESL classes, but proof of citizenship required for some programs",No cost,Free ESL; General education classes,
373,,Orange,Education,ESL; Adult education; Career education,Orange-Ulster BOCES: Adult & Continuing Education,52 Grand Street,3 Washington Center,,Newburgh,NY,12550,-74.009353,41.500683,(845) 781-6715,(845) 562-5124,contact page on website,http://www.ouboces.org/AdultEducation.cfm?subpage=1255,M-F 8:00AM-4:00 PM,No,Yes,Yes,Proof of address,"Not required for ESL classes, but proof of citizenship required for some programs",No cost,ESL and adult literacy,
374,,Orange,Labor; Education,Job search assistance; Training; Career Advice; Career education,New York State Department of Labor,18 Seward Avenue,#100,,Middletown,NY,10940,-74.437699,41.454221,"(315) 877-7996 contact Laura Cardoso, not the main office at this location",(845) 346-1173,laura.cardoso@labor.ny.gov,www.labor.ny.gov,M-F 9:00AM-5:00 PM,No,"Yes, Spanish",Yes,Proof of residence in Orange County,"Caution: Contact Laura Cardoso, Agricultural Labor Specialist",No cost,Finds employment for farmworkers and help with other labor related issues.,
375,,Orange,Programs for kids; Health; Referral to other agencies,ESL; Emergency financial aid; Farm visits; Food; Clothing; Victim services; Primary care; Programs for kids,Alamo Farmworker Community Center (Run by Hudson River Health Care),890 Pulaski Hwy,,,Goshen,NY,10924,-74.398313,41.340444,(845) 838-7015,,contact page on website,www.hrhcare.org,M Th 10:00AM-3:00 PM; Tu W 10:00AM-3:00 PM; F 10:00AM-3:00 PM; Sun 12:00 PM - 4:00 PM; or by appointment --  Sun 12:00 PM-4:00 PM,"Yes, Goshen/ Florida area","Yes, Spanish",Yes,No,Not required,No cost,"Community center. Provides ESL classes, English conversation groups, sewing club, exercise groups, food pantry, hot meals every Sunday, clothing donations,  health clinics, and referrals to other services, homework help",
376,no contact information- not sure this exists anymore,Orange,Mental health,Psychological support,Centro Catolico Hispano --  (Not in service?),157 Liberty St,,,Newburgh,NY,12250,-74.010951,41.500829,,,,www.facebook.com/pages/Centro-Catholico-Hispano/113487958685701,,No,Yes,Yes,No,,,Catholic Church,
377,,Orange,Education,Adult education,Cornell Cooperative Extension,18 Seward Ave,,,Middletown,NY,10940,-74.437699,41.454221,(845) 344-1234,(845) 343-7471,orange@cornell.edu,http://cce.cornell.edu/localoffices,M-F 8:30 AM-4:30PM,No,"Yes, Spanish","Yes, Spanish and some K'iche",No,Not required,Depends,Expanded Food and Nutrition Education Program (EFNEP).,
378,msg 11/19; 12/9,Orange,Education,Career education,"Eastern Orange County Newburgh Community Action Committee, Inc.  --  Does not exist anymore",123 Grand St.,#2,PO Box 1477,Newburgh,NY,12550,-74.010277,41.503718,(845) 562-0100,(845) 562-0343,contact page on website,https://communityactionpartnership.com/,M W F 9:00AM-5:00 PM; Tu Th 9:00AM-9:00 PM,No,No,No,Depends on the program,Caution: some programs require proof of legal working status,,,
379,,Orange,Education,ESL,Mid-Hudson (METS) Migrant Education Tutorial & Support Services Program,1 Hawk Drive,"van den Berg Learning Center Annex, Room 353 SUNY New Paltz",PO Box 250,New Paltz,NY,12561,-74.082086,41.740914,(845) 257-2950,(845) 257-2953,whittinm@newpaltz.edu,http://nysmigrant.org/,M-F 8:00AM-4:00 PM,No,Yes,By appointment,No,Not required,No Cost,"School districts served in Sullivan, Ulster, Dutchess, Orange, Putnam, Rockland, and Westchester Counties. Part of No Child Left Behind program. Works in partnership with local schools. Preschool tutors make weekly home visits; academic support and tutoring for students either in school or at home; adolescent outreach program; services for out-of-school youth; ESL classes; family literacy program; assistance obtaining U.S. citizenship; family advocacy; health services; tutoring summer services; other special activities.",
380,,Orange,Housing: Mental Health; Programs for families,Affordable housing; Home improvements; Alcohol/drug treatment; Programs for kids,"Regional Economic Community Action Program, Inc. [RECAP]",119 East Main Street,,P.O. Box 886,Middletown,NY,10940,-74.413709,41.446174,(845) 342-3978,,info@RECAP.org,www.recap.org,M-F 9:00AM-5:00 PM,Yes - for drug and alcohol programs,Yes,"Yes, Spanish, Creole",ID: Birth certificate,Not required,No cost,"Advocacy & Human Rights, Children & Youth, Community, Homeless & Housing, Hunger",
381,,Orange,Health,Women's health; General medicine; Dental; Specialty medicine,Alamo Health Clinic,888 Pulaski Hwy,,,Goshen,NY,10924,-74.398511,41.339884,(845) 378-1160,(845) 360-6335,please call,https://www.hrhcare.org/healthcenters/goshen-alamo-health/,M 10:00AM-5:30PM; Tu Th 10:00AM-8:00 PM; W 9:00AM-5:00 PM; F 10:00AM-3:00 PM,No,Yes,"Yes, Spanish",ID; Health Insurance card if you have one,Not required,No cost,"Dental care, mental health/substance abuse services, obstetrical and gynecological services, primary care medicine, specialty care medicine for farmworkers",
382,,Orange,Mental health,Psychological support; Alcohol/drug treatment,Alamo Health Clinic,888 Pulaski Hwy,,,Goshen,NY,10924,-74.398511,41.339884,(845) 378-1160,(845) 360-6335,please call,https://www.hrhcare.org/healthcenters/goshen-alamo-health/,M 10:00AM-5:30PM; Tu Th 10:00AM-8:00 PM; W 9:00AM-5:00 PM; F 10:00AM-3:00 PM,No,Yes,"Yes, Spanish",ID; Health Insurance card if you have one,Not required,No cost,"Dental care, mental health/substance abuse services, obstetrical and gynecological services, primary care medicine, specialty care medicine for farmworkers",
383,,Orange,Health,General medicine; Dental; Women's health,Hudson River Health Care,1037 Main St.,,,Peekskill,NY,10566,-73.918427,41.291596,(914) 734-8800,(914) 734-8808,please call,https://www.hrhcare.org/healthcenters/peekskill-health-center/,M 8:30 AM-6:00 PM; Tu Th 8:30 AM-7:00 PM; W 8:30 AM-9:00 PM; F 8:00AM-5:00 PM; Sat 9:00AM-2:00 PM; 24 hour coverage,No,"Yes, Spanish",Yes,ID; Health Insurance card if you have one,Not required,No cost,"Farmworker outreach program offers medical services to workers on farms and in landscaping through Alamo Farmworker Program. Negotiable discounted rates for those without health insurance on services like x-ray, blood work, etc.",
384,,Orange,Health,General medicine; Dental; Women's health,Wallkill Valley Health Center at Walden (Hudson River Health Care),75 Orange Ave.,,,Walden,NY,12586,-74.186303,41.557056,(845) 778-2700,(845) 713-6136,please call,www.hrhcare.org/healthcenters/walden,M W F 8:00AM-5:00 PM; Tu Thu 8:00AM-7:00 PM; every other Sat 9:00AM-2:00 PM,No,"Yes, Spanish",Yes,ID; Health Insurance card if you have one,Not required,No cost,Health and dental care for low-income people,
385,,Orange,Programs for families,Child care,ABCD (Agri-Business Child Development)-Goshen,150 Broadlea Road,,,Goshen,NY,10924,-74.280944,41.385968,(845) 294-1365,(845) 294-1281,contact page on website,http://www.abcdny.org/locations,M-F 7:30 AM-4:00 PM,yes,Yes,Yes,Birth certificate of kids; parents work verification,Not required,No cost,Provides childcare services for the children of migrant farmworkers,
386,,Orange,Programs for families,Child care,ABCD (Agri-Business Child Development) at Middletown,47 Academy Ave,,PO Box 458,Middletown,NY,10940,-74.417067,41.442916,(845) 956-2270,(845) 956-1374,contact page on website,http://www.abcdny.org/locations,M-F 7:30 AM-4:00 PM,yes,Yes,Yes,Birth certificate of kids; parents work verification,Not required,No cost,Provides childcare services for the children of migrant farmworkers,
387,,Orange,Education,ESL; Adult education; Programs for kids,"Literacy Connections of the Hudson Valley, Inc.",436 Robinson Ave.,,,Newburgh,NY,12550,-74.019562,41.517708,(845) 522-8986,,info@literacyconnections.org,http://literacyconnections.org,M Tu W 10:00AM-5:00 PM,No,Yes,No,No,Not required,No cost,,
388,,Orange,Health,Farm Visits; General medicine; Dental,Alamo Health Center at Goshen,888 Pulaski Highway,,,Goshen,NY,10924,-74.398511,41.339884,(845) 378-1160,(845) 360-6335,please call,https://www.hrhcare.org/healthcenters/goshen-alamo-health/,M-F 10:00AM-5:00 PM,No,Yes,Yes,ID; Health Insurance card if you have one,Not required,Sliding scale,,
389,,Orleans,Education,ESL,Literacy Genesee Orleans,458 West Ave,,,Albion,NY,14411,-78.208819,43.240330,(585) 813-5218,(585) 589-4425,literacygeneseeorleans@gmail.com,https://literacygeneseeorleans.weebly.com/,M-Th 10:00AM-3:00 PM,No,Yes,No,No,Not required,No cost,Individual literacy tutoring for adults.,
390,,Orleans,Education,ESL; Adult education,Hoag Library,134 South Main Street,,,Albion,NY,14411,-78.194425,43.243563,-585.00,589-4246,contact page on website,http://www.hoaglibrary.org/,M-Th 10:00AM-8:00PM; F 10:00AM-5:00PM,No,By appointment,No,No,Not required,No cost,,
391,,Orleans,Health,Specialty medicine,Breast/Prostrate Cancer Peer Education Project,14012 Route 31,,,Albion,NY,14411,-78.216045,43.239661,(716) 219-4047,,contact page on website,https://nfmmc.org/,M-F 9:00AM-5:00PM,No,Yes,No,No,Not required,No cost,,
392,,Orleans,Education,ESL; Clases for adults,Orleans County Adult Learning Services (OCALS),134 South Main Street,,,Albion,NY,14132,-78.194425,43.243563,(585) 589-2764,,contact page on website,http://www.ocalsfamilyliteracy.com/,Call for appointment,No,By appointment,No,No,Not required,No cost,,
393,,Orleans,Labor,Farm visits; Labor disputes,New York State Department of Labor,458 West Ave,,,Albion,NY,14411,-78.208819,43.240330,(585) 589-6338,,contact page on website,https://dol.ny.gov/,M-F 9:00AM-5:00PM,No,Yes,No,No,Not required,No cost,,
394,,Orleans,Mental health,Alcohol/drug abuse treatment,Council on Alcoholism and Substance Abuse,249 East Avenue,,,Albion,NY,14411,-78.186996,43.241400,(585) 589-0055,,contact page on website,http://www.211wny.org/provider/2616/,M-Th 9:00AM-9:00PM; F 9:00AM-4:00PM,No,By appointment,No,No,Not required,No cost,,
395,,Orleans,Emergency assistance,Food,Kendall United Methodist Church,1808 Kendall Road,,,Kendall,NY,14476,-78.036416,43.328635,(585) 659-8458,,,No website,By appointment only,No,By appointment,No,No,Not required,No cost,,
396,,Orleans,Emergency assistance,Food,St. Peter's Evangelical Lutheran Church,1355 West Avenue,,,Medina,NY,14103,-78.388818,43.207882,(585) 789-0953,,contact via Facebook page,https://www.facebook.com/stpetermedina,By appointment,No,By appointment,No,No,Not required,No cost,,
